"Student_ID","BK_TermCode","CourseID","BK_GradeCode","EarnedUnits","AttemptedUnits","GradePoints","IsExcludedFromCumulatives","Past_Academic_Renewal_Flag","Past_Course_Repetition_Flag","Qualify_TermCode","rev_Cum_AttemptedUnits","rev_Cum_EarnedUnits","rev_Cum_GradePoints","rev_Cum_GPA","Academic_Renewal_Qualify_Flag_Initial","Past_Academic_Renewal_Units","Future_Academic_Renewal_Limit","Academic_Renewal_Qualify_Units_CumSum","Academic_Renewal_Qualify_Flag"
1,20203,"COUN 20","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
1,20203,"FILM 72","D",3,3,3,0,0,0,,,,,,0,0,30,0,0
1,20203,"PS 1","B",3,3,9,0,0,0,,,,,,0,0,30,0,0
1,20203,"PSYC 1","B",3,3,9,0,0,0,,,,,,0,0,30,0,0
1,20211,"BIO 3","B",3,3,9,0,0,0,,,,,,0,0,30,0,0
1,20211,"HLTH 3","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
1,20211,"PSYC 5","C",3,3,6,0,0,0,,,,,,0,0,30,0,0
1,20211,"WR 1","B",4,4,12,0,0,0,,,,,,0,0,30,0,0
1,20213,"DNCE 78","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
1,20213,"GS 10","D",3,3,3,0,0,0,,,,,,0,0,30,0,0
1,20213,"MATH 8","D",5,5,5,0,0,0,,,,,,0,0,30,0,0
1,20213,"PSYC 6","C",3,3,6,0,0,0,,,,,,0,0,30,0,0
13,20203,"ART 40","F",0,3,0,0,0,0,20212,13,13,40,3.07692307692308,1,0,30,9,1
13,20203,"ASTR 20","FW",0,3,0,0,0,0,20212,13,13,40,3.07692307692308,1,0,30,3,1
13,20203,"GS 20","F",0,3,0,0,0,0,20212,13,13,40,3.07692307692308,1,0,30,6,1
13,20212,"MGT 1","C",3,3,6,0,0,0,20212,13,13,40,3.07692307692308,0,0,30,9,0
13,20213,"CS 1","A",3,3,12,0,0,0,20212,13,13,40,3.07692307692308,0,0,30,9,0
13,20213,"MGT 12 A","C",3,3,6,0,0,0,20212,13,13,40,3.07692307692308,0,0,30,9,0
13,20213,"WR 1","A",4,4,16,0,0,0,20212,13,13,40,3.07692307692308,0,0,30,9,0
20,20203,"DNCE 78","B",3,3,9,0,0,0,,,,,,0,0,30,0,0
20,20203,"ECON 1","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
20,20203,"IA 1 A","A",1.5,1.5,6,0,0,0,,,,,,0,0,30,0,0
20,20203,"MUS 27","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
20,20203,"PS 3","F",0,3,0,0,0,0,,,,,,0,0,30,0,0
20,20203,"PSYC 1","EW",0,0,0,0,0,0,,,,,,0,0,30,0,0
20,20211,"GEOG 1","W",0,3,0,0,0,0,,,,,,0,0,30,0,0
20,20211,"IA 19","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
20,20211,"MUS 20","A",3,3,12,0,0,0,,,,,,0,0,30,0,0
20,20211,"PS 1","D",3,3,3,0,0,0,,,,,,0,0,30,0,0
20,20211,"WR 2","B",4,4,12,0,0,0,,,,,,0,0,30,0,0
